club_name,season,total_transfers,unique_players,avg_age,total_spending,number_of_paid_transfers,Free Transfer,Internal Promotion,Loan,Loan Return,Permanent Transfer,Unknown,points,goals_scored,goals_conceded,wins,draws,losses,goal_difference
Athletic Bilbao,2019,10,10,23.9,0.0,0,0,5,0,5,0,0,53,41,45,13,14,11,-4
Celta de Vigo,2019,14,14,25.29,22.9,6,2,1,3,6,2,0,41,53,62,10,11,17,-9
FC Barcelona,2019,19,17,22.63,273.5,6,0,3,0,10,6,0,87,90,36,26,9,3,54
Getafe CF,2019,17,17,26.06,12.0,7,3,0,3,7,4,0,59,48,35,15,14,9,13
Levante UD,2019,18,18,25.78,14.6,10,6,0,1,6,3,2,44,59,66,11,11,16,-7
RCD Espanyol Barcelona,2019,14,14,24.07,18.5,4,2,4,3,3,2,0,53,48,50,14,11,13,-2
Real Madrid,2019,19,19,22.37,325.5,8,1,3,1,8,6,0,68,63,46,21,5,12,17
Real Sociedad,2019,12,12,22.67,31.75,6,1,4,1,2,4,0,50,45,46,13,11,14,-1
Real Valladolid CF,2019,15,15,22.6,1.0,1,0,2,6,6,1,0,41,32,51,10,11,17,-19
SD Eibar,2019,16,16,25.62,17.3,11,5,0,0,5,6,0,47,46,50,11,14,13,-4
Sevilla FC,2019,24,23,24.83,157.75,13,1,0,2,8,12,1,59,62,47,17,8,13,15
Valencia CF,2019,21,21,24.29,75.0,10,4,1,1,9,6,0,61,51,35,15,16,7,16
Villarreal CF,2019,16,16,25.31,20.8,5,1,2,1,8,4,0,44,49,52,10,14,14,-3
Athletic Bilbao,2020,11,11,22.45,12.0,1,0,5,0,5,1,0,51,41,38,13,12,13,3
CA Osasuna,2020,13,13,26.85,9.15,5,0,0,3,6,4,0,52,46,54,13,13,12,-8
Celta de Vigo,2020,7,7,24.57,2.5,3,2,0,0,4,1,0,37,37,49,7,16,15,-12
FC Barcelona,2020,15,15,21.87,112.0,3,0,4,0,8,3,0,82,86,38,25,7,6,48
Getafe CF,2020,17,17,24.29,20.8,2,0,1,5,9,2,0,54,43,37,14,12,12,6
Granada CF,2020,11,11,25.64,20.5,6,1,0,3,2,5,0,56,52,45,16,8,14,7
Levante UD,2020,14,14,24.57,4.0,4,2,0,0,8,2,2,49,47,53,14,7,17,-6
Real Madrid,2020,14,14,21.93,0.0,0,0,0,0,14,0,0,87,70,25,26,9,3,45
Real Sociedad,2020,10,10,25.6,0.0,1,1,2,0,7,0,0,56,56,48,16,8,14,8
Real Valladolid CF,2020,24,24,25.58,9.35,10,5,5,1,8,5,0,42,32,43,9,15,14,-11
SD Eibar,2020,11,11,25.18,2.0,1,0,0,5,5,1,0,42,39,56,11,9,18,-17
Sevilla FC,2020,21,21,25.38,67.25,7,0,0,0,12,7,2,70,54,34,19,13,6,20
Valencia CF,2020,10,10,21.5,0.0,0,0,4,0,6,0,0,53,46,53,14,11,13,-7
Villarreal CF,2020,21,21,23.86,34.5,7,1,3,2,9,5,1,60,63,49,18,6,14,14
Athletic Bilbao,2021,6,6,22.5,0.0,1,1,2,0,3,0,0,46,46,42,11,13,14,4
CA Osasuna,2021,14,14,25.07,8.7,5,3,2,2,5,2,0,44,37,48,11,11,16,-11
Celta de Vigo,2021,12,12,27.08,9.022,4,0,2,3,5,2,0,53,55,57,14,11,13,-2
Elche CF,2021,14,14,29.07,8.2,8,7,0,2,2,3,0,36,34,55,8,12,18,-21
FC Barcelona,2021,14,14,22.71,14.5,5,3,4,2,4,1,0,79,85,38,24,7,7,47
Getafe CF,2021,17,17,24.47,15.5,7,2,2,5,4,4,0,38,28,43,9,11,18,-15
Granada CF,2021,13,13,25.08,6.25,7,5,0,1,2,2,3,46,47,65,13,7,18,-18
Levante UD,2021,11,11,25.09,1.25,3,2,0,0,5,2,2,41,46,57,9,14,15,-11
Real Madrid,2021,10,10,23.3,31.0,2,1,1,0,7,1,0,84,67,28,25,9,4,39
Real Sociedad,2021,6,6,26.17,2.5,3,1,1,1,2,1,0,62,59,38,17,11,10,21
Sevilla FC,2021,15,15,24.8,38.5,6,2,0,0,9,4,0,77,53,33,24,5,9,20
Valencia CF,2021,9,9,24.56,11.2,3,0,0,4,3,2,0,43,50,53,10,13,15,-3
Villarreal CF,2021,16,15,24.0,54.5,5,2,1,0,9,4,0,58,60,44,15,13,10,16
Athletic Bilbao,2022,12,12,23.67,0.0,1,1,4,1,6,0,0,55,43,36,14,13,11,7
CA Osasuna,2022,11,10,24.64,2.0,4,2,3,2,3,1,0,47,37,51,12,11,15,-14
Celta de Vigo,2022,16,16,24.06,21.0,7,1,1,3,5,5,1,46,43,43,12,10,16,0
Elche CF,2022,15,15,25.13,12.96,6,2,0,3,5,4,1,42,40,52,11,9,18,-12
FC Barcelona,2022,15,15,25.53,153.0,7,4,0,0,6,3,2,73,68,38,21,10,7,30
Getafe CF,2022,19,19,26.26,15.75,7,4,2,4,6,3,0,39,33,41,8,15,15,-8
RCD Espanyol Barcelona,2022,16,15,25.69,7.4,7,4,1,4,5,2,0,42,40,53,10,12,16,-13
RCD Mallorca,2022,14,14,26.14,13.1,7,3,1,1,6,3,0,39,36,63,10,9,19,-27
Rayo Vallecano,2022,15,15,25.6,3.3,5,3,0,2,8,2,0,42,39,50,11,9,18,-11
Real Madrid,2022,10,9,22.7,80.0,2,1,2,0,6,1,0,86,80,31,26,8,4,49
Real Sociedad,2022,17,17,23.53,53.0,5,0,7,1,5,4,0,62,40,37,17,11,10,3
Sevilla FC,2022,13,13,25.38,28.0,4,2,0,2,6,2,1,70,53,30,18,16,4,23
Valencia CF,2022,12,12,23.75,12.5,5,2,0,5,3,2,0,48,48,53,11,15,12,-5
