club_name,season,total_spending,points,wins,goal_difference,sporting_director_category
Real Madrid,2019,325.5,68,21,17,BIG SPENDER - SUCCESSFUL
FC Barcelona,2019,273.5,87,26,54,BIG SPENDER - SUCCESSFUL
Sevilla FC,2019,157.75,59,17,15,BIG SPENDER - SUCCESSFUL
FC Barcelona,2022,153.0,73,21,30,BIG SPENDER - SUCCESSFUL
FC Barcelona,2020,112.0,82,25,48,BIG SPENDER - SUCCESSFUL
Real Madrid,2022,80.0,86,26,49,BIG SPENDER - SUCCESSFUL
Valencia CF,2019,75.0,61,15,16,BIG SPENDER - SUCCESSFUL
Sevilla FC,2020,67.25,70,19,20,BIG SPENDER - SUCCESSFUL
Villarreal CF,2021,54.5,58,15,16,BIG SPENDER - SUCCESSFUL
Real Sociedad,2022,53.0,62,17,3,BIG SPENDER - SUCCESSFUL
