club_name,season,total_spending,points,wins,goal_difference,points_per_million,sporting_director_category
Real Valladolid CF,2019,1.0,41,10,-19,41.0,LOW INVESTMENT - LOW PERFORMANCE
Levante UD,2021,1.25,41,9,-11,32.8,LOW INVESTMENT - LOW PERFORMANCE
Real Sociedad,2021,2.5,62,17,21,24.8,SMART SPENDER
CA Osasuna,2022,2.0,47,12,-14,23.5,LOW INVESTMENT - LOW PERFORMANCE
SD Eibar,2020,2.0,42,11,-17,21.0,LOW INVESTMENT - LOW PERFORMANCE
Celta de Vigo,2020,2.5,37,7,-12,14.8,LOW INVESTMENT - LOW PERFORMANCE
Rayo Vallecano,2022,3.3,42,11,-11,12.727272727272728,LOW INVESTMENT - LOW PERFORMANCE
Levante UD,2020,4.0,49,14,-6,12.25,LOW INVESTMENT - LOW PERFORMANCE
Villarreal CF,2022,6.48,59,16,26,9.104938271604938,SMART SPENDER
Granada CF,2021,6.25,46,13,-18,7.36,LOW INVESTMENT - LOW PERFORMANCE
